"Year","Sex","Party","Constituency and municipality in the election year","Votes cast (number)"
"1983","Total","KOK","Whole country",659078
"1983","Total","PS","Whole country",288711
"1983","Total","SDP","Whole country",795953
"1983","Total","KESK","Whole country",525207
"1983","Total","VIHR","Whole country",.
"1983","Total","VAS","Whole country",400930
"1983","Total","RKP","Whole country",137423
"1983","Total","KD","Whole country",90410
"1983","Total","LIIKE","Whole country",.
"1983","Total","SKP","Whole country",.
"1983","Total","LIBE","Whole country",.
"1983","Total","Pirate Pty","Whole country",.
"1983","Total","EOP","Whole country",.
"1983","Total","FP","Whole country",.
"1983","Total","KaL","Whole country",.
"1983","Total","KL","Whole country",.
"1983","Total","SKE","Whole country",.
"1983","Total","AP","Whole country",.
"1983","Total","KRIP","Whole country",.
"1983","Total","VKK","Whole country",.
"1983","Total","VL","Whole country",.
"1983","Total","SML","Whole country",.
"1983","Males","KOK","Whole country",.
"1983","Males","PS","Whole country",.
"1983","Males","SDP","Whole country",.
"1983","Males","KESK","Whole country",.
"1983","Males","VIHR","Whole country",.
"1983","Males","VAS","Whole country",.
"1983","Males","RKP","Whole country",.
"1983","Males","KD","Whole country",.
"1983","Males","LIIKE","Whole country",.
"1983","Males","SKP","Whole country",.
"1983","Males","LIBE","Whole country",.
"1983","Males","Pirate Pty","Whole country",.
"1983","Males","EOP","Whole country",.
"1983","Males","FP","Whole country",.
"1983","Males","KaL","Whole country",.
"1983","Males","KL","Whole country",.
"1983","Males","SKE","Whole country",.
"1983","Males","AP","Whole country",.
"1983","Males","KRIP","Whole country",.
"1983","Males","VKK","Whole country",.
"1983","Males","VL","Whole country",.
"1983","Males","SML","Whole country",.
"1983","Females","KOK","Whole country",.
"1983","Females","PS","Whole country",.
"1983","Females","SDP","Whole country",.
"1983","Females","KESK","Whole country",.
"1983","Females","VIHR","Whole country",.
"1983","Females","VAS","Whole country",.
"1983","Females","RKP","Whole country",.
"1983","Females","KD","Whole country",.
"1983","Females","LIIKE","Whole country",.
"1983","Females","SKP","Whole country",.
"1983","Females","LIBE","Whole country",.
"1983","Females","Pirate Pty","Whole country",.
"1983","Females","EOP","Whole country",.
"1983","Females","FP","Whole country",.
"1983","Females","KaL","Whole country",.
"1983","Females","KL","Whole country",.
"1983","Females","SKE","Whole country",.
"1983","Females","AP","Whole country",.
"1983","Females","KRIP","Whole country",.
"1983","Females","VKK","Whole country",.
"1983","Females","VL","Whole country",.
"1983","Females","SML","Whole country",.
"1987","Total","KOK","Whole country",666236
"1987","Total","PS","Whole country",181938
"1987","Total","SDP","Whole country",695331
"1987","Total","KESK","Whole country",507460
"1987","Total","VIHR","Whole country",115988
"1987","Total","VAS","Whole country",270433
"1987","Total","RKP","Whole country",152597
"1987","Total","KD","Whole country",74209
"1987","Total","LIIKE","Whole country",.
"1987","Total","SKP","Whole country",.
"1987","Total","LIBE","Whole country",.
"1987","Total","Pirate Pty","Whole country",.
"1987","Total","EOP","Whole country",.
"1987","Total","FP","Whole country",.
"1987","Total","KaL","Whole country",.
"1987","Total","KL","Whole country",.
"1987","Total","SKE","Whole country",.
"1987","Total","AP","Whole country",.
"1987","Total","KRIP","Whole country",.
"1987","Total","VKK","Whole country",.
"1987","Total","VL","Whole country",.
"1987","Total","SML","Whole country",.
"1987","Males","KOK","Whole country",.
"1987","Males","PS","Whole country",.
"1987","Males","SDP","Whole country",.
"1987","Males","KESK","Whole country",.
"1987","Males","VIHR","Whole country",.
"1987","Males","VAS","Whole country",.
"1987","Males","RKP","Whole country",.
"1987","Males","KD","Whole country",.
"1987","Males","LIIKE","Whole country",.
"1987","Males","SKP","Whole country",.
"1987","Males","LIBE","Whole country",.
"1987","Males","Pirate Pty","Whole country",.
"1987","Males","EOP","Whole country",.
"1987","Males","FP","Whole country",.
"1987","Males","KaL","Whole country",.
"1987","Males","KL","Whole country",.
"1987","Males","SKE","Whole country",.
"1987","Males","AP","Whole country",.
"1987","Males","KRIP","Whole country",.
"1987","Males","VKK","Whole country",.
"1987","Males","VL","Whole country",.
"1987","Males","SML","Whole country",.
"1987","Females","KOK","Whole country",.
"1987","Females","PS","Whole country",.
"1987","Females","SDP","Whole country",.
"1987","Females","KESK","Whole country",.
"1987","Females","VIHR","Whole country",.
"1987","Females","VAS","Whole country",.
"1987","Females","RKP","Whole country",.
"1987","Females","KD","Whole country",.
"1987","Females","LIIKE","Whole country",.
"1987","Females","SKP","Whole country",.
"1987","Females","LIBE","Whole country",.
"1987","Females","Pirate Pty","Whole country",.
"1987","Females","EOP","Whole country",.
"1987","Females","FP","Whole country",.
"1987","Females","KaL","Whole country",.
"1987","Females","KL","Whole country",.
"1987","Females","SKE","Whole country",.
"1987","Females","AP","Whole country",.
"1987","Females","KRIP","Whole country",.
"1987","Females","VKK","Whole country",.
"1987","Females","VL","Whole country",.
"1987","Females","SML","Whole country",.
"1991","Total","KOK","Whole country",526487
"1991","Total","PS","Whole country",132133
"1991","Total","SDP","Whole country",603080
"1991","Total","KESK","Whole country",676717
"1991","Total","VIHR","Whole country",185894
"1991","Total","VAS","Whole country",274639
"1991","Total","RKP","Whole country",149476
"1991","Total","KD","Whole country",83151
"1991","Total","LIIKE","Whole country",.
"1991","Total","SKP","Whole country",.
"1991","Total","LIBE","Whole country",.
"1991","Total","Pirate Pty","Whole country",.
"1991","Total","EOP","Whole country",.
"1991","Total","FP","Whole country",.
"1991","Total","KaL","Whole country",.
"1991","Total","KL","Whole country",.
"1991","Total","SKE","Whole country",.
"1991","Total","AP","Whole country",.
"1991","Total","KRIP","Whole country",.
"1991","Total","VKK","Whole country",.
"1991","Total","VL","Whole country",.
"1991","Total","SML","Whole country",.
"1991","Males","KOK","Whole country",307729
"1991","Males","PS","Whole country",93964
"1991","Males","SDP","Whole country",359150
"1991","Males","KESK","Whole country",436958
"1991","Males","VIHR","Whole country",75607
"1991","Males","VAS","Whole country",183734
"1991","Males","RKP","Whole country",100860
"1991","Males","KD","Whole country",53605
"1991","Males","LIIKE","Whole country",.
"1991","Males","SKP","Whole country",.
"1991","Males","LIBE","Whole country",.
"1991","Males","Pirate Pty","Whole country",.
"1991","Males","EOP","Whole country",.
"1991","Males","FP","Whole country",.
"1991","Males","KaL","Whole country",.
"1991","Males","KL","Whole country",.
"1991","Males","SKE","Whole country",.
"1991","Males","AP","Whole country",.
"1991","Males","KRIP","Whole country",.
"1991","Males","VKK","Whole country",.
"1991","Males","VL","Whole country",.
"1991","Males","SML","Whole country",.
"1991","Females","KOK","Whole country",218758
"1991","Females","PS","Whole country",38169
"1991","Females","SDP","Whole country",243930
"1991","Females","KESK","Whole country",239759
"1991","Females","VIHR","Whole country",110287
"1991","Females","VAS","Whole country",90905
"1991","Females","RKP","Whole country",48616
"1991","Females","KD","Whole country",29546
"1991","Females","LIIKE","Whole country",.
"1991","Females","SKP","Whole country",.
"1991","Females","LIBE","Whole country",.
"1991","Females","Pirate Pty","Whole country",.
"1991","Females","EOP","Whole country",.
"1991","Females","FP","Whole country",.
"1991","Females","KaL","Whole country",.
"1991","Females","KL","Whole country",.
"1991","Females","SKE","Whole country",.
"1991","Females","AP","Whole country",.
"1991","Females","KRIP","Whole country",.
"1991","Females","VKK","Whole country",.
"1991","Females","VL","Whole country",.
"1991","Females","SML","Whole country",.
"1995","Total","KOK","Whole country",497624
"1995","Total","PS","Whole country",36185
"1995","Total","SDP","Whole country",785637
"1995","Total","KESK","Whole country",552003
"1995","Total","VIHR","Whole country",181198
"1995","Total","VAS","Whole country",310340
"1995","Total","RKP","Whole country",142874
"1995","Total","KD","Whole country",82311
"1995","Total","LIIKE","Whole country",.
"1995","Total","SKP","Whole country",.
"1995","Total","LIBE","Whole country",.
"1995","Total","Pirate Pty","Whole country",.
"1995","Total","EOP","Whole country",.
"1995","Total","FP","Whole country",.
"1995","Total","KaL","Whole country",28067
"1995","Total","KL","Whole country",.
"1995","Total","SKE","Whole country",.
"1995","Total","AP","Whole country",.
"1995","Total","KRIP","Whole country",.
"1995","Total","VKK","Whole country",.
"1995","Total","VL","Whole country",.
"1995","Total","SML","Whole country",.
"1995","Males","KOK","Whole country",302485
"1995","Males","PS","Whole country",29301
"1995","Males","SDP","Whole country",486410
"1995","Males","KESK","Whole country",387569
"1995","Males","VIHR","Whole country",75067
"1995","Males","VAS","Whole country",212809
"1995","Males","RKP","Whole country",91712
"1995","Males","KD","Whole country",48965
"1995","Males","LIIKE","Whole country",.
"1995","Males","SKP","Whole country",.
"1995","Males","LIBE","Whole country",.
"1995","Males","Pirate Pty","Whole country",.
"1995","Males","EOP","Whole country",.
"1995","Males","FP","Whole country",.
"1995","Males","KaL","Whole country",23213
"1995","Males","KL","Whole country",.
"1995","Males","SKE","Whole country",.
"1995","Males","AP","Whole country",.
"1995","Males","KRIP","Whole country",.
"1995","Males","VKK","Whole country",.
"1995","Males","VL","Whole country",.
"1995","Males","SML","Whole country",.
"1995","Females","KOK","Whole country",195139
"1995","Females","PS","Whole country",6884
"1995","Females","SDP","Whole country",299227
"1995","Females","KESK","Whole country",164434
"1995","Females","VIHR","Whole country",106131
"1995","Females","VAS","Whole country",97531
"1995","Females","RKP","Whole country",51162
"1995","Females","KD","Whole country",33346
"1995","Females","LIIKE","Whole country",.
"1995","Females","SKP","Whole country",.
"1995","Females","LIBE","Whole country",.
"1995","Females","Pirate Pty","Whole country",.
"1995","Females","EOP","Whole country",.
"1995","Females","FP","Whole country",.
"1995","Females","KaL","Whole country",4854
"1995","Females","KL","Whole country",.
"1995","Females","SKE","Whole country",.
"1995","Females","AP","Whole country",.
"1995","Females","KRIP","Whole country",.
"1995","Females","VKK","Whole country",.
"1995","Females","VL","Whole country",.
"1995","Females","SML","Whole country",.
"1999","Total","KOK","Whole country",563835
"1999","Total","PS","Whole country",26440
"1999","Total","SDP","Whole country",612963
"1999","Total","KESK","Whole country",600592
"1999","Total","VIHR","Whole country",194846
"1999","Total","VAS","Whole country",291675
"1999","Total","RKP","Whole country",137330
"1999","Total","KD","Whole country",111835
"1999","Total","LIIKE","Whole country",.
"1999","Total","SKP","Whole country",20442
"1999","Total","LIBE","Whole country",.
"1999","Total","Pirate Pty","Whole country",.
"1999","Total","EOP","Whole country",.
"1999","Total","FP","Whole country",.
"1999","Total","KaL","Whole country",10104
"1999","Total","KL","Whole country",.
"1999","Total","SKE","Whole country",.
"1999","Total","AP","Whole country",.
"1999","Total","KRIP","Whole country",.
"1999","Total","VKK","Whole country",.
"1999","Total","VL","Whole country",.
"1999","Total","SML","Whole country",.
"1999","Males","KOK","Whole country",340737
"1999","Males","PS","Whole country",22882
"1999","Males","SDP","Whole country",360201
"1999","Males","KESK","Whole country",422006
"1999","Males","VIHR","Whole country",68971
"1999","Males","VAS","Whole country",175212
"1999","Males","RKP","Whole country",83443
"1999","Males","KD","Whole country",70190
"1999","Males","LIIKE","Whole country",.
"1999","Males","SKP","Whole country",15888
"1999","Males","LIBE","Whole country",.
"1999","Males","Pirate Pty","Whole country",.
"1999","Males","EOP","Whole country",.
"1999","Males","FP","Whole country",.
"1999","Males","KaL","Whole country",8416
"1999","Males","KL","Whole country",.
"1999","Males","SKE","Whole country",.
"1999","Males","AP","Whole country",.
"1999","Males","KRIP","Whole country",.
"1999","Males","VKK","Whole country",.
"1999","Males","VL","Whole country",.
"1999","Males","SML","Whole country",.
"1999","Females","KOK","Whole country",223098
"1999","Females","PS","Whole country",3558
"1999","Females","SDP","Whole country",252762
"1999","Females","KESK","Whole country",178586
"1999","Females","VIHR","Whole country",125875
"1999","Females","VAS","Whole country",116463
"1999","Females","RKP","Whole country",53887
"1999","Females","KD","Whole country",41645
"1999","Females","LIIKE","Whole country",.
"1999","Females","SKP","Whole country",4554
"1999","Females","LIBE","Whole country",.
"1999","Females","Pirate Pty","Whole country",.
"1999","Females","EOP","Whole country",.
"1999","Females","FP","Whole country",.
"1999","Females","KaL","Whole country",1688
"1999","Females","KL","Whole country",.
"1999","Females","SKE","Whole country",.
"1999","Females","AP","Whole country",.
"1999","Females","KRIP","Whole country",.
"1999","Females","VKK","Whole country",.
"1999","Females","VL","Whole country",.
"1999","Females","SML","Whole country",.
"2003","Total","KOK","Whole country",517904
"2003","Total","PS","Whole country",43816
"2003","Total","SDP","Whole country",683223
"2003","Total","KESK","Whole country",689391
"2003","Total","VIHR","Whole country",223564
"2003","Total","VAS","Whole country",277152
"2003","Total","RKP","Whole country",128824
"2003","Total","KD","Whole country",148987
"2003","Total","LIIKE","Whole country",.
"2003","Total","SKP","Whole country",21079
"2003","Total","LIBE","Whole country",.
"2003","Total","Pirate Pty","Whole country",.
"2003","Total","EOP","Whole country",.
"2003","Total","FP","Whole country",.
"2003","Total","KaL","Whole country",11485
"2003","Total","KL","Whole country",.
"2003","Total","SKE","Whole country",.
"2003","Total","AP","Whole country",.
"2003","Total","KRIP","Whole country",.
"2003","Total","VKK","Whole country",.
"2003","Total","VL","Whole country",.
"2003","Total","SML","Whole country",.
"2003","Males","KOK","Whole country",300416
"2003","Males","PS","Whole country",41090
"2003","Males","SDP","Whole country",356523
"2003","Males","KESK","Whole country",441968
"2003","Males","VIHR","Whole country",74686
"2003","Males","VAS","Whole country",163127
"2003","Males","RKP","Whole country",72401
"2003","Males","KD","Whole country",89703
"2003","Males","LIIKE","Whole country",.
"2003","Males","SKP","Whole country",16363
"2003","Males","LIBE","Whole country",.
"2003","Males","Pirate Pty","Whole country",.
"2003","Males","EOP","Whole country",.
"2003","Males","FP","Whole country",.
"2003","Males","KaL","Whole country",8599
"2003","Males","KL","Whole country",.
"2003","Males","SKE","Whole country",.
"2003","Males","AP","Whole country",.
"2003","Males","KRIP","Whole country",.
"2003","Males","VKK","Whole country",.
"2003","Males","VL","Whole country",.
"2003","Males","SML","Whole country",.
"2003","Females","KOK","Whole country",217488
"2003","Females","PS","Whole country",2726
"2003","Females","SDP","Whole country",326700
"2003","Females","KESK","Whole country",247423
"2003","Females","VIHR","Whole country",148878
"2003","Females","VAS","Whole country",114025
"2003","Females","RKP","Whole country",56423
"2003","Females","KD","Whole country",59284
"2003","Females","LIIKE","Whole country",.
"2003","Females","SKP","Whole country",4716
"2003","Females","LIBE","Whole country",.
"2003","Females","Pirate Pty","Whole country",.
"2003","Females","EOP","Whole country",.
"2003","Females","FP","Whole country",.
"2003","Females","KaL","Whole country",2886
"2003","Females","KL","Whole country",.
"2003","Females","SKE","Whole country",.
"2003","Females","AP","Whole country",.
"2003","Females","KRIP","Whole country",.
"2003","Females","VKK","Whole country",.
"2003","Females","VL","Whole country",.
"2003","Females","SML","Whole country",.
"2007","Total","KOK","Whole country",616841
"2007","Total","PS","Whole country",112256
"2007","Total","SDP","Whole country",594194
"2007","Total","KESK","Whole country",640428
"2007","Total","VIHR","Whole country",234429
"2007","Total","VAS","Whole country",244296
"2007","Total","RKP","Whole country",126520
"2007","Total","KD","Whole country",134790
"2007","Total","LIIKE","Whole country",.
"2007","Total","SKP","Whole country",18277
"2007","Total","LIBE","Whole country",.
"2007","Total","Pirate Pty","Whole country",.
"2007","Total","EOP","Whole country",.
"2007","Total","FP","Whole country",.
"2007","Total","KaL","Whole country",5541
"2007","Total","KL","Whole country",.
"2007","Total","SKE","Whole country",.
"2007","Total","AP","Whole country",.
"2007","Total","KRIP","Whole country",.
"2007","Total","VKK","Whole country",.
"2007","Total","VL","Whole country",.
"2007","Total","SML","Whole country",.
"2007","Males","KOK","Whole country",386479
"2007","Males","PS","Whole country",91973
"2007","Males","SDP","Whole country",281999
"2007","Males","KESK","Whole country",415587
"2007","Males","VIHR","Whole country",80937
"2007","Males","VAS","Whole country",164384
"2007","Males","RKP","Whole country",69345
"2007","Males","KD","Whole country",71992
"2007","Males","LIIKE","Whole country",.
"2007","Males","SKP","Whole country",12473
"2007","Males","LIBE","Whole country",.
"2007","Males","Pirate Pty","Whole country",.
"2007","Males","EOP","Whole country",.
"2007","Males","FP","Whole country",.
"2007","Males","KaL","Whole country",4736
"2007","Males","KL","Whole country",.
"2007","Males","SKE","Whole country",.
"2007","Males","AP","Whole country",.
"2007","Males","KRIP","Whole country",.
"2007","Males","VKK","Whole country",.
"2007","Males","VL","Whole country",.
"2007","Males","SML","Whole country",.
"2007","Females","KOK","Whole country",230362
"2007","Females","PS","Whole country",20283
"2007","Females","SDP","Whole country",312195
"2007","Females","KESK","Whole country",224841
"2007","Females","VIHR","Whole country",153492
"2007","Females","VAS","Whole country",79912
"2007","Females","RKP","Whole country",57175
"2007","Females","KD","Whole country",62798
"2007","Females","LIIKE","Whole country",.
"2007","Females","SKP","Whole country",5804
"2007","Females","LIBE","Whole country",.
"2007","Females","Pirate Pty","Whole country",.
"2007","Females","EOP","Whole country",.
"2007","Females","FP","Whole country",.
"2007","Females","KaL","Whole country",805
"2007","Females","KL","Whole country",.
"2007","Females","SKE","Whole country",.
"2007","Females","AP","Whole country",.
"2007","Females","KRIP","Whole country",.
"2007","Females","VKK","Whole country",.
"2007","Females","VL","Whole country",.
"2007","Females","SML","Whole country",.
"2011","Total","KOK","Whole country",599138
"2011","Total","PS","Whole country",560075
"2011","Total","SDP","Whole country",561558
"2011","Total","KESK","Whole country",463266
"2011","Total","VIHR","Whole country",213172
"2011","Total","VAS","Whole country",239039
"2011","Total","RKP","Whole country",125785
"2011","Total","KD","Whole country",118453
"2011","Total","LIIKE","Whole country",.
"2011","Total","SKP","Whole country",9232
"2011","Total","LIBE","Whole country",.
"2011","Total","Pirate Pty","Whole country",15103
"2011","Total","EOP","Whole country",.
"2011","Total","FP","Whole country",.
"2011","Total","KaL","Whole country",3236
"2011","Total","KL","Whole country",.
"2011","Total","SKE","Whole country",.
"2011","Total","AP","Whole country",.
"2011","Total","KRIP","Whole country",.
"2011","Total","VKK","Whole country",.
"2011","Total","VL","Whole country",.
"2011","Total","SML","Whole country",.
"2011","Males","KOK","Whole country",363215
"2011","Males","PS","Whole country",401437
"2011","Males","SDP","Whole country",260637
"2011","Males","KESK","Whole country",295650
"2011","Males","VIHR","Whole country",86149
"2011","Males","VAS","Whole country",128724
"2011","Males","RKP","Whole country",70094
"2011","Males","KD","Whole country",63779
"2011","Males","LIIKE","Whole country",.
"2011","Males","SKP","Whole country",6102
"2011","Males","LIBE","Whole country",.
"2011","Males","Pirate Pty","Whole country",13107
"2011","Males","EOP","Whole country",.
"2011","Males","FP","Whole country",.
"2011","Males","KaL","Whole country",2306
"2011","Males","KL","Whole country",.
"2011","Males","SKE","Whole country",.
"2011","Males","AP","Whole country",.
"2011","Males","KRIP","Whole country",.
"2011","Males","VKK","Whole country",.
"2011","Males","VL","Whole country",.
"2011","Males","SML","Whole country",.
"2011","Females","KOK","Whole country",235923
"2011","Females","PS","Whole country",158638
"2011","Females","SDP","Whole country",300921
"2011","Females","KESK","Whole country",167616
"2011","Females","VIHR","Whole country",127023
"2011","Females","VAS","Whole country",110315
"2011","Females","RKP","Whole country",55691
"2011","Females","KD","Whole country",54674
"2011","Females","LIIKE","Whole country",.
"2011","Females","SKP","Whole country",3130
"2011","Females","LIBE","Whole country",.
"2011","Females","Pirate Pty","Whole country",1996
"2011","Females","EOP","Whole country",.
"2011","Females","FP","Whole country",.
"2011","Females","KaL","Whole country",930
"2011","Females","KL","Whole country",.
"2011","Females","SKE","Whole country",.
"2011","Females","AP","Whole country",.
"2011","Females","KRIP","Whole country",.
"2011","Females","VKK","Whole country",.
"2011","Females","VL","Whole country",.
"2011","Females","SML","Whole country",.
"2015","Total","KOK","Whole country",540212
"2015","Total","PS","Whole country",524054
"2015","Total","SDP","Whole country",490102
"2015","Total","KESK","Whole country",626218
"2015","Total","VIHR","Whole country",253102
"2015","Total","VAS","Whole country",211702
"2015","Total","RKP","Whole country",144802
"2015","Total","KD","Whole country",105134
"2015","Total","LIIKE","Whole country",.
"2015","Total","SKP","Whole country",7529
"2015","Total","LIBE","Whole country",.
"2015","Total","Pirate Pty","Whole country",25086
"2015","Total","EOP","Whole country",.
"2015","Total","FP","Whole country",.
"2015","Total","KaL","Whole country",13638
"2015","Total","KL","Whole country",.
"2015","Total","SKE","Whole country",.
"2015","Total","AP","Whole country",.
"2015","Total","KRIP","Whole country",.
"2015","Total","VKK","Whole country",.
"2015","Total","VL","Whole country",.
"2015","Total","SML","Whole country",.
"2015","Males","KOK","Whole country",312850
"2015","Males","PS","Whole country",367757
"2015","Males","SDP","Whole country",221742
"2015","Males","KESK","Whole country",408842
"2015","Males","VIHR","Whole country",110868
"2015","Males","VAS","Whole country",92175
"2015","Males","RKP","Whole country",88962
"2015","Males","KD","Whole country",45587
"2015","Males","LIIKE","Whole country",.
"2015","Males","SKP","Whole country",4567
"2015","Males","LIBE","Whole country",.
"2015","Males","Pirate Pty","Whole country",22531
"2015","Males","EOP","Whole country",.
"2015","Males","FP","Whole country",.
"2015","Males","KaL","Whole country",10692
"2015","Males","KL","Whole country",.
"2015","Males","SKE","Whole country",.
"2015","Males","AP","Whole country",.
"2015","Males","KRIP","Whole country",.
"2015","Males","VKK","Whole country",.
"2015","Males","VL","Whole country",.
"2015","Males","SML","Whole country",.
"2015","Females","KOK","Whole country",227362
"2015","Females","PS","Whole country",156297
"2015","Females","SDP","Whole country",268360
"2015","Females","KESK","Whole country",217376
"2015","Females","VIHR","Whole country",142234
"2015","Females","VAS","Whole country",119527
"2015","Females","RKP","Whole country",55840
"2015","Females","KD","Whole country",59547
"2015","Females","LIIKE","Whole country",.
"2015","Females","SKP","Whole country",2962
"2015","Females","LIBE","Whole country",.
"2015","Females","Pirate Pty","Whole country",2555
"2015","Females","EOP","Whole country",.
"2015","Females","FP","Whole country",.
"2015","Females","KaL","Whole country",2946
"2015","Females","KL","Whole country",.
"2015","Females","SKE","Whole country",.
"2015","Females","AP","Whole country",.
"2015","Females","KRIP","Whole country",.
"2015","Females","VKK","Whole country",.
"2015","Females","VL","Whole country",.
"2015","Females","SML","Whole country",.
"2019","Total","KOK","Whole country",523957
"2019","Total","PS","Whole country",538805
"2019","Total","SDP","Whole country",546471
"2019","Total","KESK","Whole country",423920
"2019","Total","VIHR","Whole country",354194
"2019","Total","VAS","Whole country",251808
"2019","Total","RKP","Whole country",139640
"2019","Total","KD","Whole country",120144
"2019","Total","LIIKE","Whole country",.
"2019","Total","SKP","Whole country",4305
"2019","Total","LIBE","Whole country",5014
"2019","Total","Pirate Pty","Whole country",19032
"2019","Total","EOP","Whole country",3378
"2019","Total","FP","Whole country",6662
"2019","Total","KaL","Whole country",2444
"2019","Total","KL","Whole country",29943
"2019","Total","SKE","Whole country",2366
"2019","Total","AP","Whole country",.
"2019","Total","KRIP","Whole country",.
"2019","Total","VKK","Whole country",.
"2019","Total","VL","Whole country",.
"2019","Total","SML","Whole country",.
"2019","Males","KOK","Whole country",298404
"2019","Males","PS","Whole country",367626
"2019","Males","SDP","Whole country",241233
"2019","Males","KESK","Whole country",262659
"2019","Males","VIHR","Whole country",112162
"2019","Males","VAS","Whole country",92249
"2019","Males","RKP","Whole country",73794
"2019","Males","KD","Whole country",55827
"2019","Males","LIIKE","Whole country",.
"2019","Males","SKP","Whole country",2705
"2019","Males","LIBE","Whole country",3896
"2019","Males","Pirate Pty","Whole country",16472
"2019","Males","EOP","Whole country",964
"2019","Males","FP","Whole country",531
"2019","Males","KaL","Whole country",1412
"2019","Males","KL","Whole country",22204
"2019","Males","SKE","Whole country",1752
"2019","Males","AP","Whole country",.
"2019","Males","KRIP","Whole country",.
"2019","Males","VKK","Whole country",.
"2019","Males","VL","Whole country",.
"2019","Males","SML","Whole country",.
"2019","Females","KOK","Whole country",225553
"2019","Females","PS","Whole country",171179
"2019","Females","SDP","Whole country",305238
"2019","Females","KESK","Whole country",161261
"2019","Females","VIHR","Whole country",242032
"2019","Females","VAS","Whole country",159559
"2019","Females","RKP","Whole country",65846
"2019","Females","KD","Whole country",64317
"2019","Females","LIIKE","Whole country",.
"2019","Females","SKP","Whole country",1600
"2019","Females","LIBE","Whole country",1118
"2019","Females","Pirate Pty","Whole country",2560
"2019","Females","EOP","Whole country",2414
"2019","Females","FP","Whole country",6131
"2019","Females","KaL","Whole country",1032
"2019","Females","KL","Whole country",7739
"2019","Females","SKE","Whole country",614
"2019","Females","AP","Whole country",.
"2019","Females","KRIP","Whole country",.
"2019","Females","VKK","Whole country",.
"2019","Females","VL","Whole country",.
"2019","Females","SML","Whole country",.
"2023","Total","KOK","Whole country",644555
"2023","Total","PS","Whole country",620981
"2023","Total","SDP","Whole country",617552
"2023","Total","KESK","Whole country",349640
"2023","Total","VIHR","Whole country",217795
"2023","Total","VAS","Whole country",218430
"2023","Total","RKP","Whole country",133518
"2023","Total","KD","Whole country",130694
"2023","Total","LIIKE","Whole country",74995
"2023","Total","SKP","Whole country",3044
"2023","Total","LIBE","Whole country",14982
"2023","Total","Pirate Pty","Whole country",3058
"2023","Total","EOP","Whole country",3107
"2023","Total","FP","Whole country",1114
"2023","Total","KaL","Whole country",169
"2023","Total","KL","Whole country",1362
"2023","Total","SKE","Whole country",1225
"2023","Total","AP","Whole country",985
"2023","Total","KRIP","Whole country",4894
"2023","Total","VKK","Whole country",8469
"2023","Total","VL","Whole country",27558
"2023","Total","SML","Whole country",2307
"2023","Males","KOK","Whole country",372932
"2023","Males","PS","Whole country",386338
"2023","Males","SDP","Whole country",227523
"2023","Males","KESK","Whole country",206200
"2023","Males","VIHR","Whole country",57703
"2023","Males","VAS","Whole country",61735
"2023","Males","RKP","Whole country",75044
"2023","Males","KD","Whole country",57507
"2023","Males","LIIKE","Whole country",45412
"2023","Males","SKP","Whole country",1742
"2023","Males","LIBE","Whole country",9674
"2023","Males","Pirate Pty","Whole country",2538
"2023","Males","EOP","Whole country",1360
"2023","Males","FP","Whole country",60
"2023","Males","KaL","Whole country",169
"2023","Males","KL","Whole country",1256
"2023","Males","SKE","Whole country",972
"2023","Males","AP","Whole country",931
"2023","Males","KRIP","Whole country",2071
"2023","Males","VKK","Whole country",5907
"2023","Males","VL","Whole country",17086
"2023","Males","SML","Whole country",1927
"2023","Females","KOK","Whole country",271623
"2023","Females","PS","Whole country",234643
"2023","Females","SDP","Whole country",390029
"2023","Females","KESK","Whole country",143440
"2023","Females","VIHR","Whole country",160092
"2023","Females","VAS","Whole country",156695
"2023","Females","RKP","Whole country",58474
"2023","Females","KD","Whole country",73187
"2023","Females","LIIKE","Whole country",29583
"2023","Females","SKP","Whole country",1302
"2023","Females","LIBE","Whole country",5308
"2023","Females","Pirate Pty","Whole country",520
"2023","Females","EOP","Whole country",1747
"2023","Females","FP","Whole country",1054
"2023","Females","KaL","Whole country",0
"2023","Females","KL","Whole country",106
"2023","Females","SKE","Whole country",253
"2023","Females","AP","Whole country",54
"2023","Females","KRIP","Whole country",2823
"2023","Females","VKK","Whole country",2562
"2023","Females","VL","Whole country",10472
"2023","Females","SML","Whole country",380
